vehicle_id,plate,make,model,year,type,status,odometer_km,acquisition_date,last_service_date,last_service_odometer_km,assigned_driver_id
V030,TL-16-JP968,Tata,Ace,2023,heavy_truck,active,141778,2023-03-26,2026-02-28,138777,D022
V031,TL-81-KR873,Isuzu,NQR,2025,heavy_truck,active,159233,2025-09-15,2026-04-27,157439,
V032,TL-43-DQ884,Mercedes,Vito,2022,box_truck,active,137983,2022-05-15,2026-05-24,134938,D062
V033,TL-44-FR653,Ford,Transit,2019,box_truck,active,142942,2019-03-08,2026-04-06,141359,
V034,TL-18-GS438,Isuzu,NQR,2017,heavy_truck,idle,132172,2017-01-07,2026-03-26,127763,
V035,TL-83-GT106,Isuzu,NQR,2021,pickup,active,30240,2021-07-28,2025-10-02,27290,D069
V036,TL-79-KP599,Isuzu,NPR,2023,pickup,active,215956,2023-07-16,2026-02-10,214555,
V037,TL-95-GN960,Ford,F-150,2021,box_truck,active,196228,2021-10-18,2026-06-01,193772,D035
V038,TL-20-GN987,Ford,F-150,2021,box_truck,active,34209,2021-01-09,2026-01-19,30867,D011
V039,TL-68-FR879,Isuzu,NQR,2020,pickup,active,130970,2020-07-09,2026-04-18,126223,D045
V040,TL-79-AR329,Ford,E-350,2022,cargo_van,active,25081,2022-11-02,2026-06-13,20178,D067
V041,TL-12-KN344,Ford,Transit,2018,heavy_truck,active,124522,2018-11-04,2026-06-15,123542,D047
V042,TL-99-ER271,Toyota,Hiace,2018,box_truck,active,263811,2018-05-04,2026-03-28,258855,
V043,TL-83-GS832,Toyota,Hiace,2015,cargo_van,active,183555,2015-10-23,2026-05-09,181793,D073
V044,TL-99-EV924,Tata,Ace,2018,cargo_van,active,73425,2018-06-18,2026-03-07,67025,D020
V045,TL-18-JR112,Isuzu,NQR,2025,heavy_truck,active,117142,2025-02-14,2026-05-14,100618,D076
V046,TL-29-GN851,Volvo,FE,2025,heavy_truck,active,140517,2025-08-14,2026-06-19,138128,D071
V047,TL-51-DM385,Tata,407,2024,box_truck,active,90358,2024-08-19,2026-03-07,89816,D050
V048,TL-53-AT971,Toyota,Dyna,2025,box_truck,active,119349,2025-08-07,2026-05-26,109549,D036
V049,TL-45-KQ669,Volvo,FL,2019,box_truck,in_shop,198435,2019-02-08,2026-04-24,187182,
V050,TL-81-DT761,Tata,Prima,2021,heavy_truck,active,276155,2021-08-26,2026-04-08,273197,D007
V051,TL-38-GP413,Ford,E-350,2016,pickup,idle,174264,2016-08-18,2026-07-06,166894,
V052,TL-80-FR819,Toyota,Dyna,2020,pickup,active,243086,2020-05-09,2026-05-13,235767,D065
V053,TL-34-FM860,Mercedes,Sprinter,2016,box_truck,active,398160,2016-04-24,2026-04-25,393216,D019
V054,TL-77-KQ202,Isuzu,NPR,2019,pickup,active,329113,2019-04-12,2026-02-19,322505,
V055,TL-78-CQ146,Mercedes,Sprinter,2019,pickup,active,27417,2019-12-05,2026-06-12,13979,D059
V056,TL-11-KQ580,Tata,407,2022,heavy_truck,in_shop,46892,2022-06-06,2026-03-05,45640,
V057,TL-24-BS603,Ford,Transit,2019,cargo_van,idle,270467,2019-03-05,2026-06-28,262347,
V058,TL-41-BU882,Toyota,Dyna,2019,box_truck,active,64659,2019-09-13,2026-04-27,58797,
V059,TL-85-GQ682,Isuzu,NPR,2022,cargo_van,active,97949,2022-04-21,2025-10-19,94306,D002
V060,TL-30-DN665,Mercedes,Sprinter,2019,box_truck,active,62565,2019-01-14,2026-04-29,58091,D005
V061,TL-47-AP395,Isuzu,NQR,2024,heavy_truck,active,143184,2024-02-22,2026-02-14,134601,D001
V062,TL-94-DS217,Mercedes,Sprinter,2019,box_truck,active,329219,2019-05-27,2026-05-26,324703,D056
V063,TL-31-EV866,Mercedes,Vito,2016,heavy_truck,active,51267,2016-02-15,2026-04-02,50376,D010
V064,TL-44-JU605,Tata,407,2019,cargo_van,in_shop,231030,2019-10-02,,,
V065,TL-13-BP790,Isuzu,NPR,2020,pickup,active,151264,2020-10-02,2026-04-18,150607,D080
V066,TL-93-HQ285,Mercedes,Vito,2022,heavy_truck,active,156043,2022-02-16,2026-07-15,149379,
V067,TL-51-BN437,Volvo,FE,2021,heavy_truck,active,194749,2021-05-22,2026-04-28,192546,
V068,TL-68-BR358,Isuzu,NQR,2023,cargo_van,active,29619,2023-07-28,2026-05-16,22241,D025
V069,TL-79-HS155,Toyota,Hiace,2015,pickup,active,364803,2015-10-25,2026-06-30,361971,D066
V070,TL-16-DQ662,Isuzu,NPR,2025,pickup,active,135878,2025-08-23,2026-06-22,134659,D026
V071,TL-90-KP826,Isuzu,NPR,2016,pickup,active,35135,2016-09-01,2026-03-04,27868,
V072,TL-38-BT220,Toyota,Hiace,2021,heavy_truck,idle,68868,2021-12-10,2026-04-11,60857,
V073,TL-71-HP567,Toyota,Hiace,2019,heavy_truck,active,237836,2019-04-20,2026-06-24,235771,
V074,TL-45-GR906,Toyota,Dyna,2017,cargo_van,active,56600,2017-05-24,2026-04-06,54874,D009
V075,TL-94-HN557,Volvo,FE,2024,pickup,active,172023,2024-06-18,2026-06-30,164397,
V076,TL-51-DP685,Toyota,Dyna,2021,box_truck,idle,258731,2021-07-02,2026-06-12,254352,
V077,TL-58-GN607,Volvo,FL,2022,box_truck,active,204871,2022-09-19,2026-04-26,191371,D029
V078,TL-22-JT115,Volvo,FL,2016,heavy_truck,active,250847,2016-11-05,2026-04-26,243909,
V079,TL-43-FV809,Ford,F-150,2022,cargo_van,idle,224872,2022-06-28,2026-04-23,219161,
V080,TL-50-HU136,Tata,Prima,2023,cargo_van,active,119617,2023-04-21,2026-05-17,117894,D054
V081,TL-21-GM878,Tata,Prima,2019,cargo_van,active,139268,2019-08-06,2026-06-11,136983,D042
V082,TL-15-FL400,Tata,407,2019,pickup,active,35176,2019-07-05,2026-06-03,27311,D055
V083,TL-82-CN279,Mercedes,Sprinter,2023,heavy_truck,active,128016,2023-10-22,2026-04-02,125538,
V084,TL-84-CP572,Mercedes,Vito,2022,heavy_truck,active,259292,2022-05-22,2026-05-23,251388,D013
V085,TL-46-JN175,Ford,F-150,2022,pickup,active,256246,2022-10-10,2026-05-09,253782,
V086,TL-68-EP493,Tata,407,2021,cargo_van,active,151123,2021-04-13,2026-04-09,129206,
V087,TL-99-EL949,Toyota,Dyna,2020,pickup,active,175122,2020-01-19,2026-05-21,169252,D039
V088,TL-73-EP721,Tata,407,2015,box_truck,active,337931,2015-11-07,2026-05-13,331603,
V089,TL-90-BL416,Toyota,Dyna,2019,cargo_van,active,91711,2019-10-12,2026-07-03,86315,
V090,TL-47-FS279,Tata,Ace,2017,box_truck,active,67255,2017-09-12,2026-01-06,55255,
V091,TL-44-CQ944,Toyota,Dyna,2023,pickup,active,259465,2023-12-28,2026-06-01,258456,
V092,TL-19-CP980,Volvo,FE,2016,pickup,active,265540,2016-02-26,2026-03-22,260947,D044
V093,TL-78-BT477,Isuzu,NQR,2015,heavy_truck,idle,158652,2015-11-12,2025-12-17,155658,
V094,TL-70-AV674,Ford,F-150,2025,box_truck,active,81295,2025-11-03,2026-04-30,68654,D078
V095,TL-99-ES219,Tata,Ace,2022,cargo_van,active,258390,2022-01-10,2026-04-04,251792,D034
V096,TL-40-JN497,Isuzu,NQR,2016,pickup,in_shop,70956,2016-11-24,2026-06-24,66216,
V097,TL-85-CS770,Tata,Ace,2023,heavy_truck,active,129871,2023-10-14,2026-06-26,129014,
V098,TL-57-DT555,Volvo,FL,2015,pickup,active,381905,2015-02-22,2026-05-26,374140,D018
V099,TL-92-FL507,Volvo,FE,2023,box_truck,idle,256374,2023-02-28,2026-06-22,250442,
V100,TL-37-KL151,Isuzu,NQR,2016,box_truck,active,367481,2016-03-26,2026-03-19,366152,
V101,TL-80-DV321,Toyota,Hiace,2018,pickup,active,55971,2018-03-26,,,D017
V102,TL-28-CU356,Toyota,Hiace,2015,cargo_van,active,165371,2015-11-28,2026-02-19,157775,D038
V103,TL-55-DV431,Ford,Transit,2017,box_truck,active,27791,2017-05-02,2026-04-05,19163,
V104,TL-24-BT559,Mercedes,Vito,2021,cargo_van,active,295820,2021-08-17,2026-05-12,279521,D068
V105,TL-94-JQ569,Mercedes,Sprinter,2024,cargo_van,active,31367,2024-08-28,2026-05-29,26362,D023
V106,TL-72-HM182,Isuzu,NQR,2021,box_truck,active,76603,2021-02-05,2026-06-07,75536,
V107,TL-84-JR490,Volvo,FE,2024,heavy_truck,active,185957,2024-09-20,2026-05-14,180622,D015
V108,TL-24-JP540,Isuzu,NQR,2016,box_truck,active,387934,2016-07-11,2026-02-25,379586,D063
V109,TL-22-FS420,Isuzu,NQR,2021,pickup,active,238098,2021-03-22,2025-12-17,232664,D051
V110,TL-20-BS198,Isuzu,NQR,2016,box_truck,active,67828,2016-09-02,2026-03-03,63246,D072
V111,TL-52-BS462,Toyota,Dyna,2023,cargo_van,active,167241,2023-05-20,2026-02-26,166422,
V112,TL-83-JP258,Volvo,FE,2020,box_truck,idle,74316,2020-02-12,2026-04-15,65957,
V113,TL-45-KP926,Toyota,Dyna,2020,cargo_van,active,80232,2020-10-22,2026-03-13,74096,D053
V114,TL-33-EQ447,Tata,407,2019,cargo_van,active,35179,2019-03-28,2026-03-09,29410,D070
V115,TL-61-BN858,Mercedes,Sprinter,2024,cargo_van,idle,192318,2024-12-17,2026-05-30,191391,
V116,TL-68-FN478,Mercedes,Vito,2021,pickup,active,240113,2021-10-20,2026-05-20,239133,D012
V117,TL-30-KL790,Ford,Transit,2015,pickup,active,101568,2015-08-22,2026-05-05,100109,D027
V118,TL-66-GQ320,Isuzu,NPR,2022,pickup,active,179141,2022-07-04,2026-03-17,172785,
V119,TL-85-HU783,Volvo,FE,2025,cargo_van,idle,197861,2025-04-13,2026-05-17,194746,
V120,TL-36-EP885,Toyota,Hiace,2015,pickup,active,24030,2015-05-11,2026-04-18,4787,
