record_id,vehicle_id,service_date,odometer_km,service_type,cost,notes
M0058,V018,2026-05-15,116025,brake_service,382.56,
M0059,V019,2025-05-13,171563,tire_replacement,521.85,
M0060,V019,2025-09-08,179456,inspection,93.34,
M0061,V019,2026-05-15,183418,brake_service,629.28,
M0062,V020,2024-04-29,272818,inspection,102.48,
M0063,V020,2024-08-13,286167,oil_change,206.07,
M0064,V020,2024-12-10,297199,brake_service,731.13,
M0065,V020,2025-06-04,310620,engine_repair,844.38,
M0066,V020,2026-06-27,323699,oil_change,135.52,
M0067,V021,2025-07-07,270340,transmission_service,1157.7,
M0068,V021,2025-12-19,275053,oil_change,174.66,
M0069,V021,2026-04-25,285470,engine_repair,2269.02,
M0070,V022,2026-02-20,224026,oil_change,168.27,
M0071,V023,2025-07-18,370987,transmission_service,809.87,
M0072,V023,2025-12-28,382827,brake_service,798.23,
M0073,V023,2025-12-17,392358,oil_change,169.32,
M0074,V024,2025-08-05,23559,brake_service,471.67,
M0075,V024,2025-09-28,38157,engine_repair,2078.18,
M0076,V024,2026-03-23,48681,tire_replacement,1333.37,
M0077,V024,2026-06-01,45150,tire_replacement,601.59,
M0078,V025,2025-05-03,150318,brake_service,597.72,
M0079,V025,2025-09-23,159872,transmission_service,1247.55,
M0080,V025,2026-06-27,169652,oil_change,231.91,
M0081,V026,2025-02-14,28783,transmission_service,1224.4,
M0082,V026,2025-07-23,42656,transmission_service,1002.59,
M0083,V026,2025-09-26,52028,tire_replacement,721.21,
M0084,V026,2025-12-26,64965,engine_repair,3486.77,
M0085,V026,2026-07-12,71225,oil_change,221.79,
M0086,V027,2025-07-27,76159,transmission_service,1655.0,
M0087,V027,2025-12-12,88565,transmission_service,1583.77,
M0088,V027,2026-02-09,93794,inspection,112.95,
M0089,V027,2026-06-30,100847,transmission_service,1979.06,
M0090,V028,2024-05-30,135602,brake_service,617.68,
M0091,V028,2024-08-02,149005,tire_replacement,843.94,
M0092,V028,2025-01-09,159082,oil_change,204.71,
M0093,V028,2025-06-01,172375,transmission_service,1122.76,
M0094,V028,2026-03-09,172935,inspection,84.18,
M0095,V029,2025-06-03,345858,tire_replacement,1174.96,
M0096,V029,2025-12-08,351787,engine_repair,1844.87,
M0097,V029,2026-04-04,362113,oil_change,123.63,
M0098,V030,2024-09-20,102714,tire_replacement,1109.54,
M0099,V030,2025-01-24,117655,transmission_service,2144.85,
M0100,V030,2025-07-01,123093,brake_service,839.21,
M0101,V030,2025-09-02,134499,oil_change,139.0,
M0102,V030,2026-02-28,138777,transmission_service,2058.01,
M0103,V031,2024-10-12,143036,brake_service,774.22,
M0104,V031,2025-01-16,149311,engine_repair,1405.45,
M0105,V031,2026-04-27,157439,tire_replacement,1251.36,
M0106,V032,2024-01-28,104970,brake_service,883.43,
M0107,V032,2024-08-07,110178,inspection,172.3,
M0108,V032,2025-01-21,122790,inspection,199.95,
M0109,V032,2025-03-23,131857,engine_repair,3187.47,
M0110,V032,2026-05-24,134938,tire_replacement,867.41,
M0111,V033,2024-09-12,111338,engine_repair,1213.14,
M0112,V033,2024-11-10,117372,engine_repair,3258.92,
M0113,V033,2025-01-27,128460,engine_repair,1291.3,
M0114,V033,2026-04-06,141359,engine_repair,1730.19,
M0115,V034,2024-03-26,115023,brake_service,675.01,
M0116,V034,2024-09-28,123519,oil_change,155.08,
M0117,V034,2026-03-26,127763,transmission_service,883.3,
M0118,V035,2023-11-24,1000,transmission_service,858.37,
M0119,V035,2024-06-03,8853,oil_change,252.8,
M0120,V035,2024-07-25,14183,engine_repair,911.22,
M0121,V035,2025-02-09,23714,brake_service,695.24,
M0122,V035,2025-10-02,27290,brake_service,655.09,
M0123,V036,2023-10-22,183195,inspection,135.73,
M0124,V036,2024-03-27,194004,transmission_service,601.85,
M0125,V036,2024-09-04,199199,transmission_service,1190.36,
M0126,V036,2025-02-19,207211,transmission_service,2126.31,
M0127,V036,2026-02-10,214555,oil_change,189.73,
M0128,V037,2025-09-25,185696,brake_service,756.4,
M0129,V037,2026-06-01,193772,transmission_service,1042.84,
M0130,V038,2026-01-19,30867,brake_service,579.88,
M0131,V039,2025-12-12,116888,inspection,109.79,
M0132,V039,2026-04-18,126223,oil_change,127.08,
M0133,V040,2024-04-14,1000,tire_replacement,448.66,
M0134,V040,2024-07-23,1000,inspection,196.0,
M0135,V040,2024-12-15,1000,oil_change,132.61,
M0136,V040,2025-04-17,12918,engine_repair,2060.4,
M0137,V040,2026-06-13,20178,tire_replacement,589.83,
M0138,V041,2023-08-18,82336,brake_service,517.51,
M0139,V041,2024-02-24,95540,oil_change,176.08,
M0140,V041,2024-07-21,105535,tire_replacement,1127.51,
M0141,V041,2024-12-23,111729,oil_change,238.6,
M0142,V041,2026-06-15,123542,transmission_service,1643.29,
M0143,V042,2024-12-10,230877,tire_replacement,1154.97,
M0144,V042,2025-04-20,244016,inspection,124.78,
M0145,V042,2025-07-06,249600,transmission_service,1538.77,
M0146,V042,2026-03-28,258855,inspection,171.73,
M0147,V043,2024-07-18,151850,inspection,198.87,
M0148,V043,2024-11-21,158512,tire_replacement,1331.37,
M0149,V043,2025-05-16,164802,inspection,97.87,
M0150,V043,2025-10-29,177310,transmission_service,1066.17,
M0151,V043,2026-05-09,181793,engine_repair,908.69,
M0152,V044,2024-12-05,55087,transmission_service,686.33,
M0153,V044,2025-04-23,64514,inspection,177.89,
M0154,V044,2026-03-07,67025,engine_repair,2237.32,
M0155,V045,2024-10-02,89900,brake_service,732.84,
M0156,V045,2025-04-13,103363,inspection,111.86,
M0157,V045,2026-05-14,100618,transmission_service,1982.57,
M0158,V046,2025-05-31,134096,transmission_service,911.73,
M0159,V046,2026-06-19,138128,transmission_service,1726.01,
M0160,V047,2026-04-14,79593,transmission_service,846.62,
M0161,V047,2026-03-07,89816,inspection,117.64,
M0162,V048,2024-05-24,82711,engine_repair,1724.28,
M0163,V048,2024-08-21,94242,inspection,117.65,
M0164,V048,2025-02-04,106851,brake_service,636.53,
M0165,V048,2026-05-26,109549,transmission_service,1736.58,
M0166,V049,2025-01-20,181129,transmission_service,852.37,
M0167,V049,2025-05-21,189864,engine_repair,1605.95,
M0168,V049,2026-04-24,187182,inspection,103.07,
M0169,V050,2025-01-02,248462,oil_change,160.27,
M0170,V050,2025-03-25,257220,inspection,178.21,
M0171,V050,2025-09-25,267440,oil_change,200.29,
M0172,V050,2026-04-08,273197,engine_repair,3320.99,
M0173,V051,2024-04-19,150584,brake_service,330.46,
M0174,V051,2024-10-31,158504,brake_service,365.54,
M0175,V051,2025-05-07,166954,engine_repair,1532.06,
M0176,V051,2026-07-06,166894,tire_replacement,1147.34,
M0177,V052,2026-01-05,237439,transmission_service,1810.3,
M0178,V052,2026-05-13,235767,oil_change,177.86,
M0179,V053,2025-07-06,386338,transmission_service,839.08,
M0180,V053,2026-04-25,393216,transmission_service,2089.55,
M0181,V054,2025-04-20,307558,inspection,185.87,
M0182,V054,2025-06-13,314426,engine_repair,1426.99,
M0183,V054,2026-02-19,322505,oil_change,247.11,
M0184,V055,2024-01-22,4456,inspection,186.71,
M0185,V055,2024-07-24,17046,tire_replacement,684.56,
M0186,V055,2025-02-08,22804,oil_change,161.77,
M0187,V055,2026-06-12,13979,inspection,102.36,
M0188,V056,2025-03-04,19878,transmission_service,1787.38,
M0189,V056,2025-07-02,33180,oil_change,223.13,
M0190,V056,2025-10-20,40230,transmission_service,1280.15,
M0191,V056,2026-03-05,45640,brake_service,785.29,
M0192,V057,2024-11-06,239806,inspection,108.26,
M0193,V057,2024-12-22,248078,tire_replacement,1335.83,
M0194,V057,2025-03-12,259900,transmission_service,662.15,
M0195,V057,2026-06-28,262347,inspection,141.83,
M0196,V058,2025-04-02,35009,oil_change,185.16,
M0197,V058,2025-06-01,49950,tire_replacement,1092.77,
M0198,V058,2026-04-27,58797,transmission_service,1473.89,
M0199,V059,2023-10-25,50257,engine_repair,2965.39,
M0200,V059,2024-04-27,61971,tire_replacement,815.85,
M0201,V059,2024-10-05,75895,brake_service,586.91,
M0202,V059,2025-01-14,83485,tire_replacement,767.54,
M0203,V059,2025-10-19,94306,transmission_service,1808.73,
M0204,V060,2024-01-03,21719,inspection,93.95,
M0205,V060,2024-05-10,34244,engine_repair,1204.6,
M0206,V060,2024-08-14,47627,engine_repair,3237.8,
M0207,V060,2024-10-26,52638,oil_change,248.41,
M0208,V060,2026-04-29,58091,oil_change,193.57,
M0209,V061,2025-06-21,114160,inspection,110.53,
M0210,V061,2025-10-22,118516,oil_change,198.23,
M0211,V061,2026-04-01,131755,brake_service,607.95,
M0212,V061,2026-02-14,134601,engine_repair,2002.8,
M0213,V062,2025-06-07,288266,inspection,133.82,
M0214,V062,2025-11-06,298401,transmission_service,2163.17,
M0215,V062,2026-02-05,304619,oil_change,160.19,
M0216,V062,2026-04-08,316353,oil_change,250.84,
M0217,V062,2026-05-26,324703,oil_change,179.32,
M0218,V063,2026-04-02,50376,transmission_service,1986.74,
M0219,V065,2025-09-11,134544,oil_change,256.99,
M0220,V065,2025-12-22,138600,brake_service,736.71,
M0221,V065,2026-04-18,150607,brake_service,895.71,
M0222,V066,2024-10-28,124575,oil_change,153.69,
M0223,V066,2025-03-29,138649,oil_change,233.33,
M0224,V066,2025-06-30,144497,tire_replacement,555.12,
M0225,V066,2026-07-15,149379,inspection,178.8,
M0226,V067,2025-06-16,159168,tire_replacement,977.47,
M0227,V067,2025-09-28,172606,engine_repair,3482.41,
M0228,V067,2025-11-26,178901,engine_repair,1386.63,
M0229,V067,2026-05-02,186740,transmission_service,575.2,
M0230,V067,2026-04-28,192546,inspection,151.73,
M0231,V068,2024-08-28,8877,engine_repair,3175.23,
M0232,V068,2024-10-27,21998,inspection,116.06,
M0233,V068,2026-05-16,22241,brake_service,891.42,
M0234,V069,2024-09-04,332128,inspection,102.07,
M0235,V069,2024-11-26,341041,transmission_service,1207.75,
M0236,V069,2025-05-24,350263,transmission_service,1147.96,
M0237,V069,2026-06-30,361971,inspection,85.63,
M0238,V070,2025-02-15,124292,oil_change,198.73,
M0239,V070,2026-06-22,134659,brake_service,480.44,
M0240,V071,2024-11-05,1000,oil_change,242.31,
M0241,V071,2025-05-23,10801,tire_replacement,777.17,
M0242,V071,2025-08-24,15645,oil_change,194.99,
M0243,V071,2026-01-31,25724,transmission_service,634.42,
M0244,V071,2026-03-04,27868,inspection,109.14,
M0245,V072,2024-11-24,35507,brake_service,631.25,
M0246,V072,2025-03-01,46005,transmission_service,1527.48,
M0247,V072,2025-08-15,53979,transmission_service,2199.27,
M0248,V072,2025-11-16,59901,oil_change,149.65,
M0249,V072,2026-04-11,60857,inspection,105.07,
M0250,V073,2024-09-09,215001,tire_replacement,712.92,
M0251,V073,2025-01-13,222329,transmission_service,1298.13,
M0252,V073,2025-06-26,227944,engine_repair,3183.59,
M0253,V073,2026-06-24,235771,transmission_service,1110.74,
M0254,V074,2024-12-27,43032,engine_repair,2744.03,
M0255,V074,2026-04-06,54874,brake_service,309.73,
M0256,V075,2025-10-13,159843,engine_repair,2567.44,
M0257,V075,2026-06-30,164397,brake_service,527.9,
M0258,V076,2024-08-02,232800,transmission_service,2127.3,
M0259,V076,2024-11-02,245682,transmission_service,1429.13,
M0260,V076,2025-01-29,251975,transmission_service,1851.46,
M0261,V076,2026-06-12,254352,transmission_service,1757.31,
M0262,V077,2026-04-26,191371,transmission_service,582.47,
M0263,V078,2025-02-16,246698,brake_service,603.44,
M0264,V078,2026-04-26,243909,transmission_service,893.44,
M0265,V079,2024-01-23,176304,transmission_service,1645.86,
M0266,V079,2024-03-12,188532,engine_repair,3439.19,
M0267,V079,2024-09-08,197033,inspection,81.42,
M0268,V079,2025-03-08,210071,inspection,81.89,
M0269,V079,2026-04-23,219161,transmission_service,2087.64,
M0270,V080,2026-05-17,117894,brake_service,444.58,
M0271,V081,2025-06-24,118834,transmission_service,1907.71,
M0272,V081,2025-10-04,127748,engine_repair,1456.66,
M0273,V081,2026-06-11,136983,inspection,89.48,
M0274,V082,2026-06-03,27311,inspection,125.51,
M0275,V083,2026-04-02,125538,oil_change,218.4,
M0276,V084,2024-09-30,226256,engine_repair,2321.48,
M0277,V084,2024-12-03,234849,tire_replacement,446.56,
M0278,V084,2025-06-11,246639,oil_change,152.17,
M0279,V084,2026-05-23,251388,tire_replacement,965.86,
M0280,V085,2025-10-28,237702,inspection,161.24,
M0281,V085,2026-02-11,250986,tire_replacement,562.45,
M0282,V085,2026-05-09,253782,brake_service,652.22,
M0283,V086,2024-12-19,123739,engine_repair,2876.32,
M0284,V086,2025-02-21,133319,inspection,107.86,
M0285,V086,2025-04-20,138919,transmission_service,2156.35,
M0286,V086,2026-04-09,129206,transmission_service,737.92,
M0287,V087,2025-09-02,152009,brake_service,707.82,
M0288,V087,2026-01-21,163084,brake_service,513.49,
M0289,V087,2026-05-21,169252,transmission_service,964.66,
M0290,V088,2025-03-19,309399,brake_service,352.38,
M0291,V088,2025-07-11,315073,tire_replacement,844.74,
M0292,V088,2025-09-17,319158,tire_replacement,760.7,
M0293,V088,2025-12-10,329541,brake_service,528.0,
M0294,V088,2026-05-13,331603,brake_service,727.87,
M0295,V089,2024-10-07,50497,brake_service,643.18,
M0296,V089,2024-12-12,63664,inspection,126.54,
M0297,V089,2025-01-29,72445,tire_replacement,1263.72,
M0298,V089,2025-08-14,86243,tire_replacement,954.22,
M0299,V089,2026-07-03,86315,engine_repair,1901.72,
M0300,V090,2025-11-15,60865,oil_change,143.41,
M0301,V090,2026-01-06,55255,tire_replacement,701.13,
M0302,V091,2025-04-21,233724,oil_change,138.97,
M0303,V091,2025-07-25,245225,inspection,151.26,
M0304,V091,2026-06-01,258456,oil_change,170.56,
M0305,V092,2024-06-19,248098,tire_replacement,720.67,
M0306,V092,2025-01-02,254328,tire_replacement,830.62,
M0307,V092,2026-03-22,260947,engine_repair,1825.7,
M0308,V093,2025-09-02,134944,inspection,113.64,
M0309,V093,2025-12-18,144283,inspection,196.13,
M0310,V093,2025-12-17,155658,inspection,196.25,
M0311,V094,2026-04-30,68654,engine_repair,1339.46,
M0312,V095,2025-04-23,218363,oil_change,182.87,
M0313,V095,2025-09-23,228539,tire_replacement,1058.66,
M0314,V095,2026-01-23,236504,transmission_service,1348.82,
M0315,V095,2026-03-26,247207,tire_replacement,1231.28,
M0316,V095,2026-04-04,251792,transmission_service,1284.76,
M0317,V096,2024-08-19,32737,transmission_service,1541.55,
M0318,V096,2025-01-01,39462,brake_service,694.56,
M0319,V096,2025-03-08,45253,engine_repair,2523.09,
M0320,V096,2025-07-23,58049,oil_change,230.7,
M0321,V096,2026-06-24,66216,engine_repair,2167.85,
M0322,V097,2024-04-02,98346,brake_service,567.47,
M0323,V097,2024-10-12,111770,transmission_service,1381.96,
M0324,V097,2025-01-21,124136,oil_change,133.8,
M0325,V097,2026-06-26,129014,tire_replacement,1365.72,
M0326,V098,2024-06-03,342563,tire_replacement,876.16,
M0327,V098,2024-11-28,354475,inspection,174.11,
M0328,V098,2025-04-01,364095,transmission_service,740.85,
M0329,V098,2025-06-06,369996,oil_change,161.36,
M0330,V098,2026-05-26,374140,engine_repair,1207.01,
M0331,V099,2026-01-01,244008,engine_repair,1271.02,
M0332,V099,2026-03-29,252004,tire_replacement,1047.97,
M0333,V099,2026-06-22,250442,tire_replacement,444.68,
M0334,V100,2024-09-21,323799,brake_service,467.01,
M0335,V100,2024-11-06,331318,engine_repair,1959.79,
M0336,V100,2025-02-09,342683,oil_change,223.23,
M0337,V100,2025-07-14,353164,brake_service,411.83,
M0338,V100,2026-03-19,366152,inspection,107.82,
M0339,V102,2026-02-19,157775,engine_repair,1304.79,
M0340,V103,2025-02-24,1000,inspection,154.08,
M0341,V103,2025-07-08,1130,inspection,150.44,
M0342,V103,2025-11-29,15145,transmission_service,1032.79,
M0343,V103,2026-04-05,19163,tire_replacement,1070.7,
M0344,V104,2025-01-14,263365,transmission_service,1413.54,
M0345,V104,2025-04-16,275338,engine_repair,1836.02,
M0346,V104,2025-10-30,281596,engine_repair,1848.85,
M0347,V104,2026-03-19,287912,tire_replacement,516.95,
M0348,V104,2026-05-12,279521,transmission_service,727.71,
M0349,V105,2025-07-05,19978,engine_repair,944.75,
M0350,V105,2026-05-29,26362,tire_replacement,540.3,
M0351,V106,2024-11-25,46773,oil_change,199.16,
M0352,V106,2025-05-14,53513,transmission_service,1927.82,
M0353,V106,2025-10-31,64322,transmission_service,1341.45,
M0354,V106,2026-06-07,75536,brake_service,789.13,
M0355,V107,2026-05-14,180622,brake_service,622.57,
M0356,V108,2024-03-22,347633,transmission_service,1911.12,
M0357,V108,2024-08-22,353310,engine_repair,1390.06,
M0358,V108,2024-10-16,364541,engine_repair,3021.05,
M0359,V108,2025-04-18,374551,oil_change,157.5,
M0360,V108,2026-02-25,379586,inspection,145.97,
M0361,V109,2025-12-17,232664,tire_replacement,748.58,
M0362,V110,2026-03-03,63246,brake_service,425.93,
M0363,V111,2024-02-02,134611,engine_repair,1521.83,
M0364,V111,2024-05-31,143351,tire_replacement,1379.0,
M0365,V111,2024-11-29,150109,engine_repair,1558.93,
M0366,V111,2025-06-07,159856,brake_service,783.26,
M0367,V111,2026-02-26,166422,inspection,99.92,
M0368,V112,2025-03-03,59570,brake_service,720.86,
M0369,V112,2026-04-15,65957,inspection,190.25,
M0370,V113,2025-02-21,68213,brake_service,646.46,
M0371,V113,2026-03-13,74096,tire_replacement,1228.48,
M0372,V114,2025-04-27,7604,transmission_service,2152.66,
M0373,V114,2025-06-11,13130,inspection,119.27,
M0374,V114,2025-10-28,24579,engine_repair,2824.47,
M0375,V114,2026-03-09,29410,inspection,89.06,
M0376,V115,2024-09-18,153977,oil_change,207.67,
M0377,V115,2024-11-14,158729,tire_replacement,1294.15,
M0378,V115,2025-05-22,170680,engine_repair,2360.42,
M0379,V115,2025-09-16,180213,tire_replacement,722.87,
M0380,V115,2026-05-30,191391,brake_service,880.88,
M0381,V116,2026-05-20,239133,brake_service,564.77,
M0382,V117,2025-03-28,94964,tire_replacement,493.34,
M0383,V117,2026-05-05,100109,brake_service,829.29,
M0384,V118,2026-03-17,172785,transmission_service,2036.46,
M0385,V119,2024-12-21,169086,brake_service,611.67,
M0386,V119,2025-03-09,182812,brake_service,586.08,
M0387,V119,2025-05-17,186829,transmission_service,655.04,
M0388,V119,2026-05-17,194746,tire_replacement,1125.99,
M0389,V120,2026-04-18,4787,tire_replacement,1217.11,
