trip_id,vehicle_id,driver_id,trip_date,origin,destination,distance_km,duration_hr,fuel_liters,fuel_cost,purpose
T04190,V047,D050,2025-10-29,Airport Cargo,Harbor Terminal,541.8,13.85,69.1,120.04,delivery
T04222,V094,D078,2025-10-29,Riverside Hub,Northgate DC,441.5,8.5,54.0,91.99,delivery
T04450,V065,D080,2025-10-29,Airport Cargo,Riverside Hub,283.9,7.39,38.4,63.67,transfer
T04718,V060,D005,2025-10-29,Springfield Depot,Northgate DC,149.8,3.34,15.2,23.2,service_run
T04724,V110,D072,2025-10-29,Westside Yard,Northgate DC,489.5,9.18,63.8,102.53,service_run
T04790,V105,D023,2025-10-29,Eastfield Park,Springfield Depot,557.1,8.19,53.0,89.69,transfer
T04923,V117,D027,2025-10-29,Northgate DC,Airport Cargo,293.8,5.05,27.1,39.3,service_run
T04931,V053,D019,2025-10-29,Harbor Terminal,Northgate DC,448.0,9.42,72.0,107.55,service_run
T05010,V019,D041,2025-10-29,Northgate DC,Downtown Drop,85.0,1.29,12.4,19.85,delivery
T05108,V007,D004,2025-10-29,Westside Yard,Northgate DC,37.5,0.61,5.3,7.86,service_run
T00037,V012,D057,2025-10-30,Northgate DC,Harbor Terminal,288.5,4.62,43.4,69.3,delivery
T00096,V008,D046,2025-10-30,Riverside Hub,Northgate DC,361.5,8.08,47.1,78.77,service_run
T00102,V037,D035,2025-10-30,Downtown Drop,Northgate DC,204.5,3.15,20.8,31.0,service_run
T00333,V032,D062,2025-10-30,Eastfield Park,Westside Yard,267.8,4.28,46.6,68.04,transfer
T00353,V032,D062,2025-10-30,Westside Yard,Eastfield Park,601.9,9.94,70.8,112.73,delivery
T00437,V008,D046,2025-10-30,Harbor Terminal,Airport Cargo,168.5,2.83,18.9,28.15,transfer
T00445,V044,D020,2025-10-30,Downtown Drop,Springfield Depot,333.2,7.26,38.6,61.74,delivery
T00771,V047,D050,2025-10-30,Springfield Depot,Eastfield Park,559.6,13.04,71.9,112.33,transfer
T01441,V027,D049,2025-10-30,Northgate DC,Harbor Terminal,173.3,2.54,18.2,29.11,delivery
T01470,V061,D001,2025-10-30,Airport Cargo,Northgate DC,495.3,10.42,45.4,72.33,service_run
T01700,V055,D059,2025-10-30,Northgate DC,Riverside Hub,50.3,0.84,6.2,10.32,delivery
T02054,V095,D034,2025-10-30,Northgate DC,Springfield Depot,513.4,8.44,75.3,123.68,transfer
T02219,V028,D064,2025-10-30,Airport Cargo,Westside Yard,66.5,0.98,7.3,11.57,pickup
T02592,V070,D026,2025-10-30,Riverside Hub,Airport Cargo,161.2,3.8,15.2,24.59,delivery
T02853,V081,D042,2025-10-30,Harbor Terminal,Eastfield Park,214.6,3.36,19.9,33.4,service_run
T03208,V068,D025,2025-10-30,Northgate DC,Harbor Terminal,523.6,8.03,63.8,98.73,transfer
T03216,V061,D001,2025-10-30,Harbor Terminal,Northgate DC,325.3,5.12,53.2,83.04,delivery
T03676,V069,D066,2025-10-30,Riverside Hub,Northgate DC,370.6,7.61,42.8,65.87,pickup
T03711,V037,D035,2025-10-30,Westside Yard,Eastfield Park,275.8,7.02,29.7,51.0,delivery
T03908,V082,D055,2025-10-30,Airport Cargo,Springfield Depot,269.1,5.25,42.5,66.07,pickup
T04018,V059,D002,2025-10-30,Westside Yard,Springfield Depot,200.2,3.94,23.0,34.29,transfer
T04149,V040,D067,2025-10-30,Northgate DC,Harbor Terminal,489.2,7.78,77.3,128.63,transfer
T04423,V032,D062,2025-10-30,Riverside Hub,Airport Cargo,284.4,4.83,37.4,54.72,transfer
T04442,V010,D040,2025-10-30,Harbor Terminal,Eastfield Park,279.4,5.92,38.4,66.74,delivery
T04541,V012,D057,2025-10-30,Westside Yard,Riverside Hub,227.4,4.18,25.3,41.63,service_run
T04800,V003,D058,2025-10-30,Airport Cargo,Riverside Hub,60.5,1.48,7.9,11.83,transfer
T00027,V024,D079,2025-10-31,Westside Yard,Harbor Terminal,324.5,5.53,35.5,57.96,delivery
T00318,V002,D074,2025-10-31,Harbor Terminal,Airport Cargo,123.5,2.05,20.6,34.77,pickup
T00770,V084,D013,2025-10-31,Harbor Terminal,Northgate DC,583.5,8.82,59.5,91.0,pickup
T01137,V063,D010,2025-10-31,Westside Yard,Harbor Terminal,602.4,14.4,104.0,181.29,transfer
T01824,V108,D063,2025-10-31,Downtown Drop,Harbor Terminal,445.1,8.42,80.8,124.58,transfer
T02221,V060,D005,2025-10-31,Harbor Terminal,Airport Cargo,202.3,4.37,20.5,34.1,delivery
T02336,V109,D051,2025-10-31,Springfield Depot,Downtown Drop,568.8,13.61,74.5,118.19,delivery
T02501,V105,D023,2025-10-31,Eastfield Park,Westside Yard,188.6,3.36,25.5,43.54,delivery
T03003,V010,D040,2025-10-31,Riverside Hub,Westside Yard,44.0,0.7,7.4,10.85,delivery
T03223,V046,D071,2025-10-31,Downtown Drop,Westside Yard,530.0,7.64,88.2,131.92,delivery
T03368,V050,D007,2025-10-31,Downtown Drop,Airport Cargo,292.7,4.47,43.6,76.06,delivery
T03422,V059,D002,2025-10-31,Northgate DC,Airport Cargo,540.1,12.3,52.3,76.74,delivery
T03582,V070,D026,2025-10-31,Springfield Depot,Airport Cargo,508.1,9.53,46.6,67.66,transfer
T04427,V026,D021,2025-10-31,Eastfield Park,Harbor Terminal,18.3,0.4,2.3,3.68,delivery
T04548,V055,D059,2025-10-31,Northgate DC,Downtown Drop,599.3,11.14,55.9,96.84,delivery
T04749,V081,D042,2025-10-31,Springfield Depot,Riverside Hub,159.7,3.32,18.8,30.21,transfer
T00146,V063,D010,2025-11-01,Riverside Hub,Northgate DC,22.2,0.45,3.3,5.64,delivery
T00150,V107,D015,2025-11-01,Westside Yard,Downtown Drop,121.8,2.27,14.8,22.57,transfer
T00165,V061,D001,2025-11-01,Airport Cargo,Downtown Drop,478.4,12.51,48.4,75.61,pickup
T00170,V101,D017,2025-11-01,Eastfield Park,Riverside Hub,155.9,3.19,24.6,37.97,pickup
T00919,V007,D004,2025-11-01,Airport Cargo,Westside Yard,163.8,3.7,18.8,29.91,pickup
T01725,V010,D040,2025-11-01,Airport Cargo,Northgate DC,609.5,9.72,86.0,125.01,service_run
T01910,V098,D018,2025-11-01,Northgate DC,Harbor Terminal,477.2,7.28,49.9,72.69,delivery
T02072,V108,D063,2025-11-01,Harbor Terminal,Downtown Drop,146.6,3.41,19.5,33.24,service_run
T02765,V081,D042,2025-11-01,Harbor Terminal,Westside Yard,572.9,9.22,70.3,120.97,delivery
T02882,V095,D034,2025-11-01,Springfield Depot,Airport Cargo,156.8,4.11,16.2,25.07,service_run
T02905,V059,D002,2025-11-01,Westside Yard,Airport Cargo,378.9,8.36,48.6,76.52,delivery
T03131,V029,D060,2025-11-01,Northgate DC,Downtown Drop,217.6,3.86,29.7,50.81,pickup
T03839,V069,D066,2025-11-01,Harbor Terminal,Airport Cargo,272.0,6.69,26.7,43.37,delivery
T04289,V063,D010,2025-11-01,Harbor Terminal,Springfield Depot,275.2,6.7,28.1,48.18,pickup
T04744,V084,D013,2025-11-01,Downtown Drop,Riverside Hub,329.2,5.87,40.5,59.68,delivery
T00059,V010,D040,2025-11-02,Eastfield Park,Downtown Drop,404.3,7.51,63.5,95.23,pickup
T00664,V055,D059,2025-11-02,Airport Cargo,Eastfield Park,74.3,1.09,6.8,11.46,delivery
T00672,V110,D072,2025-11-02,Northgate DC,Airport Cargo,597.1,11.07,76.2,126.15,service_run
T00782,V061,D001,2025-11-02,Springfield Depot,Eastfield Park,561.7,8.11,61.5,107.51,pickup
T00792,V063,D010,2025-11-02,Westside Yard,Riverside Hub,448.7,8.02,67.2,105.21,transfer
T01226,V095,D034,2025-11-02,Harbor Terminal,Springfield Depot,195.4,5.02,29.5,48.47,pickup
T01331,V037,D035,2025-11-02,Harbor Terminal,Springfield Depot,615.2,15.86,97.6,147.92,transfer
T02141,V038,D011,2025-11-02,Downtown Drop,Airport Cargo,491.8,11.32,55.7,92.36,delivery
T02207,V028,D064,2025-11-02,Eastfield Park,Harbor Terminal,247.2,4.36,32.1,48.25,delivery
T02251,V027,D049,2025-11-02,Riverside Hub,Eastfield Park,535.0,13.42,61.3,102.51,service_run
T02566,V114,D070,2025-11-02,Eastfield Park,Westside Yard,359.8,7.1,38.8,67.31,delivery
T02835,V008,D046,2025-11-02,Eastfield Park,Airport Cargo,614.8,14.83,67.3,108.56,pickup
T02846,V114,D070,2025-11-02,Airport Cargo,Riverside Hub,100.6,1.6,9.9,15.45,delivery
T02875,V116,D012,2025-11-02,Harbor Terminal,Riverside Hub,169.8,3.09,22.7,32.96,delivery
T02910,V003,D058,2025-11-02,Northgate DC,Harbor Terminal,398.7,6.28,47.6,72.12,delivery
T03506,V105,D023,2025-11-02,Eastfield Park,Springfield Depot,516.2,12.42,53.7,80.83,service_run
T03589,V074,D009,2025-11-02,Springfield Depot,Northgate DC,585.4,14.61,79.7,121.24,delivery
T03600,V108,D063,2025-11-02,Springfield Depot,Northgate DC,141.8,3.22,22.8,35.19,pickup
T03789,V102,D038,2025-11-02,Northgate DC,Springfield Depot,95.7,1.47,15.3,22.43,transfer
T04208,V061,D001,2025-11-02,Eastfield Park,Springfield Depot,430.9,7.69,56.9,91.07,pickup
T04338,V065,D080,2025-11-02,Downtown Drop,Harbor Terminal,571.8,8.73,67.6,117.03,service_run
T04474,V082,D055,2025-11-02,Downtown Drop,Eastfield Park,23.3,0.37,2.4,3.97,transfer
T04924,V059,D002,2025-11-02,Westside Yard,Springfield Depot,198.9,4.82,24.8,41.97,delivery
T05052,V041,D047,2025-11-02,Eastfield Park,Airport Cargo,56.2,0.9,6.5,11.13,delivery
T00386,V038,D011,2025-11-03,Riverside Hub,Airport Cargo,619.2,11.9,75.5,124.39,delivery
T00613,V035,D069,2025-11-03,Downtown Drop,Airport Cargo,85.6,1.41,14.2,24.74,delivery
T00730,V014,D031,2025-11-03,Northgate DC,Downtown Drop,359.4,8.2,36.0,60.23,service_run
T01663,V074,D009,2025-11-03,Riverside Hub,Harbor Terminal,411.3,6.52,70.5,122.58,delivery
T01754,V028,D064,2025-11-03,Springfield Depot,Northgate DC,92.2,1.36,10.3,17.09,delivery
T01873,V068,D025,2025-11-03,Northgate DC,Springfield Depot,178.9,2.73,31.9,52.13,pickup
T01961,V105,D023,2025-11-03,Airport Cargo,Riverside Hub,480.1,8.06,52.3,76.15,service_run
T02140,V039,D045,2025-11-03,Northgate DC,Riverside Hub,69.8,1.03,6.5,9.6,transfer
T02517,V008,D046,2025-11-03,Westside Yard,Airport Cargo,77.4,1.65,10.0,14.83,pickup
T02629,V081,D042,2025-11-03,Harbor Terminal,Westside Yard,296.8,5.54,35.7,56.93,delivery
T03026,V104,D068,2025-11-03,Northgate DC,Eastfield Park,147.1,2.91,17.5,28.8,pickup
T03369,V087,D039,2025-11-03,Downtown Drop,Westside Yard,17.3,0.41,1.6,2.73,transfer
T03913,V032,D062,2025-11-03,Springfield Depot,Westside Yard,599.0,9.22,59.4,101.4,service_run
T03958,V047,D050,2025-11-03,Eastfield Park,Airport Cargo,141.6,2.58,25.4,37.67,service_run
T04281,V052,D065,2025-11-03,Westside Yard,Northgate DC,33.5,0.51,3.9,6.57,service_run
T04318,V108,D063,2025-11-03,Eastfield Park,Harbor Terminal,610.3,13.7,56.2,91.91,delivery
T04568,V046,D071,2025-11-03,Eastfield Park,Springfield Depot,543.0,8.13,50.8,77.58,delivery
T04795,V053,D019,2025-11-03,Riverside Hub,Harbor Terminal,427.7,8.0,62.9,108.36,service_run
T00039,V080,D054,2025-11-04,Airport Cargo,Springfield Depot,554.7,9.3,57.4,94.02,delivery
T00134,V116,D012,2025-11-04,Riverside Hub,Harbor Terminal,460.8,9.78,78.4,133.2,transfer
T00332,V055,D059,2025-11-04,Airport Cargo,Riverside Hub,456.7,9.42,47.8,77.62,transfer
T00431,V027,D049,2025-11-04,Eastfield Park,Downtown Drop,449.7,7.55,57.0,84.68,service_run
T00871,V008,D046,2025-11-04,Springfield Depot,Eastfield Park,543.3,13.65,79.0,124.94,delivery
T01669,V024,D079,2025-11-04,Westside Yard,Riverside Hub,403.3,6.88,44.4,66.02,transfer
T01762,V109,D051,2025-11-04,Westside Yard,Downtown Drop,318.2,6.19,42.3,73.64,pickup
T02067,V007,D004,2025-11-04,Harbor Terminal,Riverside Hub,117.7,1.85,17.0,25.34,pickup
T02290,V063,D010,2025-11-04,Airport Cargo,Riverside Hub,539.4,8.38,61.4,103.31,pickup
T02377,V060,D005,2025-11-04,Eastfield Park,Airport Cargo,367.8,6.25,52.0,82.03,transfer
T03000,V102,D038,2025-11-04,Westside Yard,Northgate DC,76.5,1.43,10.7,18.23,delivery
T03292,V024,D079,2025-11-04,Airport Cargo,Westside Yard,187.8,4.02,19.5,30.82,transfer
T03358,V027,D049,2025-11-04,Harbor Terminal,Northgate DC,502.2,11.8,84.4,142.34,transfer
T04610,V081,D042,2025-11-04,Westside Yard,Eastfield Park,200.2,3.72,30.7,51.87,delivery
T04951,V040,D067,2025-11-04,Downtown Drop,Eastfield Park,18.4,0.28,3.3,5.34,transfer
T05134,V070,D026,2025-11-04,Harbor Terminal,Eastfield Park,531.7,9.18,57.2,90.69,service_run
T00627,V065,D080,2025-11-05,Westside Yard,Eastfield Park,398.4,7.63,38.7,63.16,pickup
T00797,V069,D066,2025-11-05,Downtown Drop,Westside Yard,57.0,1.2,9.5,14.68,delivery
T01317,V047,D050,2025-11-05,Riverside Hub,Springfield Depot,503.7,8.03,76.6,117.25,delivery
T01326,V041,D047,2025-11-05,Northgate DC,Airport Cargo,145.4,2.21,14.9,25.14,service_run
T01528,V065,D080,2025-11-05,Harbor Terminal,Downtown Drop,384.0,8.28,39.8,57.8,delivery
T01533,V008,D046,2025-11-05,Northgate DC,Westside Yard,595.7,9.07,85.6,144.73,delivery
T01567,V041,D047,2025-11-05,Downtown Drop,Westside Yard,183.3,4.51,25.6,41.52,transfer
T02085,V117,D027,2025-11-05,Harbor Terminal,Downtown Drop,484.7,12.02,46.7,71.94,delivery
T02248,V061,D001,2025-11-05,Eastfield Park,Springfield Depot,93.5,2.08,11.4,17.86,pickup
T02450,V028,D064,2025-11-05,Harbor Terminal,Springfield Depot,530.1,9.15,94.1,162.14,service_run
T02538,V004,D003,2025-11-05,Northgate DC,Downtown Drop,387.1,5.97,51.5,89.27,service_run
T02681,V040,D067,2025-11-05,Harbor Terminal,Riverside Hub,520.6,11.08,52.8,86.55,delivery
T02725,V030,D022,2025-11-05,Westside Yard,Airport Cargo,462.9,9.45,49.2,80.2,delivery
T02758,V087,D039,2025-11-05,Springfield Depot,Riverside Hub,502.6,7.94,87.5,148.71,delivery
T03172,V007,D004,2025-11-05,Airport Cargo,Riverside Hub,587.7,11.17,78.2,133.04,delivery
T03313,V077,D029,2025-11-05,Riverside Hub,Harbor Terminal,311.7,6.05,29.6,44.28,transfer
T04163,V081,D042,2025-11-05,Westside Yard,Harbor Terminal,361.1,8.66,37.5,60.64,pickup
T04569,V074,D009,2025-11-05,Airport Cargo,Eastfield Park,85.0,1.62,7.7,11.51,service_run
T00105,V014,D031,2025-11-06,Downtown Drop,Eastfield Park,529.0,9.3,58.9,101.42,transfer
T00117,V087,D039,2025-11-06,Harbor Terminal,Springfield Depot,546.5,12.16,57.5,93.84,pickup
T00506,V039,D045,2025-11-06,Eastfield Park,Springfield Depot,181.4,2.84,27.4,44.72,pickup
T00584,V037,D035,2025-11-06,Riverside Hub,Harbor Terminal,382.2,6.19,59.0,88.53,service_run
T01008,V043,D073,2025-11-06,Harbor Terminal,Northgate DC,488.1,9.24,53.6,90.43,service_run
T01070,V082,D055,2025-11-06,Northgate DC,Eastfield Park,20.2,0.31,2.8,4.55,delivery
T01847,V024,D079,2025-11-06,Downtown Drop,Harbor Terminal,197.3,3.2,21.6,35.69,service_run
T02032,V070,D026,2025-11-06,Downtown Drop,Springfield Depot,188.6,2.85,18.4,27.02,transfer
T02314,V050,D007,2025-11-06,Springfield Depot,Riverside Hub,552.4,9.35,63.4,100.15,delivery
T02385,V068,D025,2025-11-06,Northgate DC,Riverside Hub,423.5,8.97,40.2,59.44,delivery
T02387,V030,D022,2025-11-06,Downtown Drop,Riverside Hub,72.7,1.63,7.1,11.87,delivery
T02830,V114,D070,2025-11-06,Airport Cargo,Harbor Terminal,430.7,6.69,68.4,112.38,delivery
T02919,V087,D039,2025-11-06,Northgate DC,Downtown Drop,182.7,2.62,17.9,27.82,transfer
T03050,V055,D059,2025-11-06,Westside Yard,Downtown Drop,601.5,8.99,107.2,184.09,transfer
T03228,V052,D065,2025-11-06,Harbor Terminal,Eastfield Park,160.5,3.44,16.1,27.55,pickup
T04207,V044,D020,2025-11-06,Downtown Drop,Airport Cargo,180.3,3.1,16.6,28.26,delivery
T04361,V110,D072,2025-11-06,Airport Cargo,Eastfield Park,404.6,7.98,49.8,81.75,pickup
T04384,V062,D056,2025-11-06,Eastfield Park,Northgate DC,100.6,2.22,9.4,15.97,pickup
T04400,V030,D022,2025-11-06,Springfield Depot,Airport Cargo,187.8,2.94,27.0,43.74,delivery
T04668,V060,D005,2025-11-06,Eastfield Park,Airport Cargo,78.3,1.24,10.0,16.28,service_run
T04750,V026,D021,2025-11-06,Eastfield Park,Airport Cargo,353.7,6.71,39.1,67.14,pickup
T04869,V043,D073,2025-11-06,Downtown Drop,Springfield Depot,437.4,9.37,69.2,112.49,service_run
T05027,V069,D066,2025-11-06,Downtown Drop,Riverside Hub,432.1,7.88,41.8,71.96,service_run
T00429,V045,D076,2025-11-07,Airport Cargo,Springfield Depot,588.6,8.51,55.6,83.93,service_run
T01417,V021,D037,2025-11-07,Northgate DC,Riverside Hub,418.7,6.8,63.8,106.53,delivery
T01683,V068,D025,2025-11-07,Downtown Drop,Westside Yard,561.3,11.12,97.6,149.39,delivery
T02168,V082,D055,2025-11-07,Downtown Drop,Eastfield Park,190.5,2.88,28.0,40.88,delivery
T02579,V041,D047,2025-11-07,Northgate DC,Airport Cargo,584.0,9.93,58.6,92.41,delivery
T02913,V048,D036,2025-11-07,Northgate DC,Westside Yard,492.7,10.34,76.8,128.15,delivery
T03108,V052,D065,2025-11-07,Riverside Hub,Airport Cargo,331.0,8.7,60.0,96.26,service_run
T03574,V010,D040,2025-11-07,Springfield Depot,Downtown Drop,160.9,3.23,24.0,35.33,service_run
T03579,V116,D012,2025-11-07,Springfield Depot,Northgate DC,304.3,6.95,27.9,47.79,delivery
T03952,V040,D067,2025-11-07,Downtown Drop,Riverside Hub,334.5,7.75,40.3,67.58,service_run
T04644,V074,D009,2025-11-07,Downtown Drop,Westside Yard,184.7,4.29,30.7,45.85,service_run
T04730,V094,D078,2025-11-07,Northgate DC,Downtown Drop,240.5,4.14,35.4,57.79,transfer
T04875,V039,D045,2025-11-07,Springfield Depot,Northgate DC,516.1,9.81,60.3,87.81,transfer
T00489,V035,D069,2025-11-08,Harbor Terminal,Riverside Hub,31.9,0.49,3.2,4.93,pickup
T00861,V068,D025,2025-11-08,Harbor Terminal,Airport Cargo,150.5,2.49,14.1,20.73,delivery
T01021,V092,D044,2025-11-08,Eastfield Park,Westside Yard,211.6,5.17,30.8,48.08,service_run
T01198,V026,D021,2025-11-08,Riverside Hub,Eastfield Park,505.5,12.52,50.9,79.51,delivery
T01449,V113,D053,2025-11-08,Westside Yard,Riverside Hub,482.1,8.64,50.6,80.97,delivery
T01912,V109,D051,2025-11-08,Eastfield Park,Northgate DC,355.3,5.93,41.6,66.54,transfer
T02051,V094,D078,2025-11-08,Springfield Depot,Northgate DC,615.8,9.46,79.7,135.09,delivery
T02111,V080,D054,2025-11-08,Downtown Drop,Northgate DC,288.8,4.5,52.5,82.72,pickup
T02170,V044,D020,2025-11-08,Riverside Hub,Harbor Terminal,509.5,7.51,63.0,94.81,delivery
T02325,V094,D078,2025-11-08,Airport Cargo,Riverside Hub,579.8,11.0,54.7,81.68,service_run
T02630,V008,D046,2025-11-08,Riverside Hub,Downtown Drop,228.9,5.78,38.5,61.3,delivery
T03022,V084,D013,2025-11-08,Harbor Terminal,Springfield Depot,145.9,2.65,22.3,32.38,transfer
T03203,V105,D023,2025-11-08,Harbor Terminal,Airport Cargo,23.3,0.35,2.7,4.61,pickup
T03620,V021,D037,2025-11-08,Downtown Drop,Airport Cargo,591.3,11.06,54.1,86.91,delivery
T03627,V105,D023,2025-11-08,Riverside Hub,Westside Yard,185.9,4.21,22.1,32.66,pickup
T03879,V105,D023,2025-11-08,Downtown Drop,Riverside Hub,101.7,1.6,14.8,23.34,pickup
T04088,V045,D076,2025-11-08,Harbor Terminal,Westside Yard,300.4,4.33,47.6,76.91,pickup
T04118,V027,D049,2025-11-08,Harbor Terminal,Riverside Hub,492.3,9.09,81.6,128.3,pickup
T04597,V102,D038,2025-11-08,Northgate DC,Westside Yard,478.5,8.18,46.4,79.38,pickup
T05004,V080,D054,2025-11-08,Springfield Depot,Northgate DC,601.3,13.66,54.8,87.58,service_run
T05116,V045,D076,2025-11-08,Downtown Drop,Northgate DC,89.2,1.29,11.1,18.18,pickup
T05192,V006,D006,2025-11-08,Westside Yard,Riverside Hub,306.2,7.73,40.7,59.62,delivery
T00297,V007,D004,2025-11-09,Airport Cargo,Harbor Terminal,389.7,6.67,67.0,111.38,delivery
T00336,V104,D068,2025-11-09,Northgate DC,Downtown Drop,605.7,10.01,75.2,113.21,delivery
T00857,V019,D041,2025-11-09,Airport Cargo,Springfield Depot,395.6,6.19,43.1,74.05,delivery
T00940,V045,D076,2025-11-09,Westside Yard,Airport Cargo,255.4,4.56,37.7,61.94,delivery
T01169,V101,D017,2025-11-09,Airport Cargo,Harbor Terminal,542.2,9.87,92.2,149.09,delivery
T01181,V101,D017,2025-11-09,Northgate DC,Eastfield Park,434.9,6.26,57.1,94.45,delivery
T01235,V012,D057,2025-11-09,Airport Cargo,Eastfield Park,46.8,1.19,4.6,6.97,delivery
T01279,V027,D049,2025-11-09,Airport Cargo,Eastfield Park,113.0,1.91,13.1,21.14,transfer
T01332,V080,D054,2025-11-09,Eastfield Park,Northgate DC,286.3,4.95,39.0,59.88,delivery
T01719,V037,D035,2025-11-09,Airport Cargo,Northgate DC,260.7,4.06,29.2,50.51,service_run
T01999,V027,D049,2025-11-09,Harbor Terminal,Westside Yard,501.6,9.83,72.7,107.85,pickup
T02010,V052,D065,2025-11-09,Riverside Hub,Harbor Terminal,324.3,7.81,47.9,69.92,delivery
T02348,V060,D005,2025-11-09,Downtown Drop,Westside Yard,568.6,8.69,52.0,90.28,delivery
T02589,V074,D009,2025-11-09,Westside Yard,Downtown Drop,476.7,11.95,48.4,84.62,delivery
T03598,V050,D007,2025-11-09,Northgate DC,Harbor Terminal,344.1,7.42,43.2,68.12,pickup
T03802,V046,D071,2025-11-09,Harbor Terminal,Downtown Drop,408.5,10.4,53.3,92.22,delivery
T03973,V107,D015,2025-11-09,Harbor Terminal,Airport Cargo,141.5,2.53,16.5,26.12,service_run
T03998,V080,D054,2025-11-09,Springfield Depot,Northgate DC,117.2,2.01,12.8,21.44,pickup
T04067,V098,D018,2025-11-09,Westside Yard,Eastfield Park,36.2,0.74,4.0,6.24,pickup
T04529,V101,D017,2025-11-09,Springfield Depot,Westside Yard,391.1,7.69,36.5,54.35,service_run
T04783,V030,D022,2025-11-09,Westside Yard,Eastfield Park,555.6,11.32,60.1,103.89,pickup
T04812,V044,D020,2025-11-09,Northgate DC,Springfield Depot,174.6,2.76,17.5,29.83,delivery
T00004,V021,D037,2025-11-10,Riverside Hub,Airport Cargo,140.2,2.16,15.6,24.06,pickup
T00446,V068,D025,2025-11-10,Riverside Hub,Airport Cargo,187.0,3.74,17.2,29.73,delivery
T00662,V081,D042,2025-11-10,Harbor Terminal,Springfield Depot,598.2,10.87,87.2,144.33,pickup
T01117,V098,D018,2025-11-10,Westside Yard,Springfield Depot,145.7,3.08,22.4,35.25,delivery
T01230,V081,D042,2025-11-10,Downtown Drop,Riverside Hub,395.5,8.16,43.7,74.33,delivery
